1.0848e+05,1.1535e+05
1.2883e+05,1.3602e+05
1.9436e+05,2.0128e+05
2.1637e+05,2.2165e+05
2.8445e+05,2.9166e+05
3.0684e+05,3.1421e+05
3.7216e+05,3.7761e+05
3.9249e+05,3.9917e+05
4.5981e+05,4.6636e+05
4.8250e+05,4.8868e+05
5.4787e+05,5.5481e+05
5.6843e+05,5.733e+05
6.3414e+05,6.4234e+05
6.5613e+05,6.6276e+05
7.2416e+05,7.3243e+05
7.4547e+05,7.5168e+05
8.1188e+05,8.1808e+05
8.3418e+05,8.3965e+05
9.0127e+05,9.0752e+05
9.2259e+05,9.2775e+05
9.8885e+05,9.9501e+05
1.0121e+06,1.0183e+06
1.0778e+06,1.0828e+06
1.0982e+06,1.1033e+06
1.1643e+06,1.1697e+06
1.1864e+06,1.1912e+06
1.2538e+06,1.2595e+06
1.2735e+06,1.2779e+06
1.3462e+06,1.3517e+06
1.3708e+06,1.3755e+06
