1.069e+05,1.154e+05
1.2911e+05,1.3779e+05
1.73e+05,1.8189e+05
1.9524e+05,2.0415e+05
2.4014e+05,2.4859e+05
2.6262e+05,2.7066e+05
3.0551e+05,3.1325e+05
3.274e+05,3.3495e+05
3.7003e+05,3.774e+05
3.9164e+05,3.9883e+05
4.353e+05,4.4222e+05
4.583e+05,4.653e+05
5.0242e+05,5.0961e+05
5.2523e+05,5.3278e+05
5.6905e+05,5.7626e+05
5.922e+05,5.9937e+05
6.3573e+05,6.4315e+05
6.5796e+05,6.6621e+05
7.0245e+05,7.1017e+05
7.2558e+05,7.3355e+05
7.6913e+05,7.7749e+05
7.9132e+05,7.9913e+05
8.3338e+05,8.4056e+05
8.557e+05,8.6284e+05
8.9962e+05,9.0766e+05
9.2137e+05,9.2856e+05
9.668e+05,9.7422e+05
9.8894e+05,9.9645e+05
1.0325e+06,1.04e+06
1.0556e+06,1.0628e+06
1.0984e+06,1.1063e+06
1.1214e+06,1.1285e+06
1.1642e+06,1.171e+06
1.1872e+06,1.1936e+06
1.2309e+06,1.2384e+06
1.2537e+06,1.2602e+06
1.2978e+06,1.3035e+06
1.3192e+06,1.3255e+06
1.3637e+06,1.3703e+06
1.3864e+06,1.3933e+06
1.4313e+06,1.4384e+06
1.4544e+06,1.4606e+06
